단축코드,한글명,group_tag
20,동화약품                                ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000062300000100001NNN00NNN000000050Y0900000000670080000000010001976032400000000002793100000000002793147000012       0 NNY0,0
70,삼양홀딩스                              ST2002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0001046000000100001YNN00NNN000000040Y0900000000000000000000050001968122700000000000858800000000004434164500012       0 NNY00,0
80,하이트진로                              ST2002700050000 NN7NNY NNNNNNNNN0NNNNNNNN0000188000000100001NNN00NNN000000040Y0900000001585900000000050002009101900000000007013300000000036316805500012       0 NYY00,3
120,CJ대한통운                              ST2001900000000 NN9NNY NNNNNNNNN0NNNNNNYY0000821000000100001NNN00NNN000000030Y0900000000422760000000050001956070200000000002281200000000011406172000012       0 NYY0,3
140,하이트진로홀딩스                        ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000097900000100001NNN00NNN000000100N0900000000274430000000050001973091900000000002320600000000011603382500012       0 NNY00001,3
220,유유제약                                ST3002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0000041450000100001NNN00NNN000000100N0900000000935680000000010001975111800000000001703200000000001760919100012       0 NNY0,6
240,한국앤컴퍼니                            ST2002100000000 NN8NNY NNNNNNNNN0NNNNNNNY0000236000000100001NNN00NNN000000030Y0900000000577770000000005001968122700000000009493500000000004746762000012       0 NYY000,6
320,노루홀딩스                              ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000228500000100001NNN00NNN000000050Y0900000000362400000000005001973081000000000001329100000000000840757550012       0 NNY00,6
390,삼화페인트                              ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000058700000100001NNN00NNN000000060Y0900000001013090000000005001993091000000000002720300000000001360173450012       0 NNY00,6
430,대원강업                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000040500000100001NNN00NNN000000040Y0900000004057310000000005001977062200000000006200000000000003100000000012       0 NNY0,6
640,동아쏘시오홀딩스                        ST2002100000000 NN0NNY NNNNYNNNN0NNNNNNNN0001084000000100001NNN00NNN000000030Y0900000000143320000000050001970021000000000000653600000000003268217000012       0 NNY00000,1
700,유수홀딩스                              ST3002600000000 NN0NNY NNNNNNNNN0NNNNNNYN0000056200000100001NNN00NNN000000100N0900000000256400000000025001956030300000000002604100000000006510453000012       0 NNY00,6
970,한국주철관                              ST3002700110000 NN0NNY NNNNNNNNN0NYNNNNNN0000067000000100001NNN00NNN000000060Y0900000000312540000000005001969121200000000002280000000000001200000000012       0 NNY00,6
990,DB하이텍                                ST2002700130000 NN0NNY NNNYNNNNN0NNNNNNNN0000589000000100001NNN00NNN000000030Y0900000002851140000000050001975121200000000004350400000000022199294000012       0 NYY,1
1040,CJ                                      ST1002100000000 NN7NNY NNNNNNNNN0NNNNNNNY0001694000000100001NNN00NNN000000040Y0900000001364900000000050001973062900000000002917600000000014661369500012       0,5
1060,JW중외제약                              ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000231500000100001NNN00NNN000000040Y0900000000609510000000025001976061400000000002328500000000005821482500012       0 NNY0,1
1120,LX인터내셔널                            ST2001600000000 NN0NNY NNNNNNNNN0NNNNNNNN0000301000000100001NNN00NNN000000040Y0900000001181940000000050001976013000000000003876000000000019380000000012       0 NYY00,3
1390,KG케미칼                                ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000049500000100001NNN00NNN000000040Y0900000002788590000000010001989082500000000006846900000000007112835000012       0 NNY,3
1430,세아베스틸지주                          ST2002700110000 NN3NNY NNNNNNNNY0NNNNNNNN0000275000000100001NNN00NNN000000060Y0900000001511790000000050001991031200000000003586200000000021931059500012       0 NYY0000,4
1460,BYC                                     ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000362000000100001NNN00NNN000000100N0900000000013220000000005001975060200000000000624600000000000312307500012       0,6
1630,종근당홀딩스                            ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000452000000100001NNN00NNN000000040Y0900000000146640000000025001976063000000000000500900000000001252465250012       0 NNY000,6
1680,대상                                    ST2002700050000 NN7NNY NNNNNNNNN0NNNNNNNN0000209500000100001NNN00NNN000000030Y0900000001254410000000010001970040100000000003464800000000003464802500012       0 NY,3
1790,대한제당                                ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000028000000100001NNN00NNN000000040Y0900000003737810000000005001968122700000000008969600000000004484829000012       0 NNY0,1
1800,오리온홀딩스                            ST2002100000000 NN7NNY NNNNNNNNN0NNNNNNNN0000190400000100001NNN00NNN000000030Y0900000001163120000000005001975062700000000006264500000000003132271100012       0 NYY000,2
1820,삼화콘덴서                              ST3002700130000 NN0NNN NNNNNNNNN0NNNNNNNN0000326500000100001NNN00NNN000000040Y0900000001093630000000010001976062600000000001039500000000001039500000012       0 NNY00,0
2350,넥센타이어                              ST2002700080000 NN0NNY NNYNNNNNN0NNNNNNNN0000064000000100001NNN00NNN000000040Y0900000002537870000000005001976051900000000009766700000000005083393850012       0 NNY00,3
2450,삼익악기                                ST3002700000000 NN0NNN NNNNNNNNN0NNNNNNNN0000011690000100001NNN00NNN000000060Y0900000002454320000000005001988093000000000009053000000000004526545750012       0 NNY0,1
2600,조흥                                    ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0001563000000100001NNN00NNN000000100N0900000000000100000000050001976122300000000000060000000000000300000000012       0 NN,3
2710,TCC스틸                                 ST3002700110000 NN3NNY NNNNNNNNN0NNNNNNNN0000189800000100001NNN00NNN000000060Y0900000002655280000000010001984122100000000002621300000000002621369700012       0 NY,0
2790,아모레퍼시픽홀딩스                      ST2002700080000 NN7NNY NNNNNNNNN0NNNNNNNN0000259000000100001NNN00NNN000000030Y0900000001591530000000005001973043000000000007945800000000004122909000012       0 NYY000022,6
2810,삼영무역                                ST3001600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000151700000100001NNN00NNN000000100N0900000000325480000000005001988032800000000001846600000000000923347400012       0 NNY0,2
2840,미원상사                                ST2002700080000 NN4NNN NNNNNNNNN0NNNNNNNN0001490000000100001NNN00NNN000000030Y0900000000040120000000005001989092500000000000475000000000000666178000012       0 NNY0,7
3010,혜인                                    ST3001600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000054500000100001NNN00NNN000000100N0900000000825160000000005001988092000000000001271200000000000635637350012       0 NN,3
3030,세아제강지주                            ST2002100000000 NN3NNY NNNNNNNNY0NNNNNNNN0001453000000100001NNN00NNN000000030Y0900000000156170000000050001969051300000000000414100000000002070828500012       0 NYY000,3
