단축코드,한글명,시가총액,per,pbr,ROE,부채비율,배당수익률
000020,동화약품                                ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000062300000100001NNN00NNN000000050Y0900000000670080000000010001976032400000000002793100000000002793147000012       0 NNY0,1749.0,31.46,0.47,3.88,59.89,18.0
000040,KR모터스                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000004940000100001NNN00NNN000000100N0900000003061110000000005001976052500000000008637500000000004318759200012       0 NNY,428.0,-2.21,0.91,-9.12,172.26,0.0
000050,경방                                    ST3001600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000066400000100001NNN00NNN000000100N0900000001046940000000005001956030300000000002741500000000001370763500012       0 NN,1829.0,7.75,0.23,3.49,56.77,30.0
000070,삼양홀딩스                              ST2002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0001046000000100001YNN00NNN000000040Y0900000000000000000000050001968122700000000000858800000000004434164500012       0 NNY00,8983.0,32.81,0.44,4.59,72.59,70.0
000080,하이트진로                              ST2002700050000 NN7NNY NNNNNNNNN0NNNNNNNN0000188000000100001NNN00NNN000000040Y0900000001585900000000050002009101900000000007013300000000036316805500012       0 NYY00,13206.0,14.0,1.11,12.51,187.84,14.0
000087,하이트진로2우B                          ST0002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000153600000100001NNN00NNN000000100N0900000000037310000000050002011092600000000000113000000000000565069000012       2 NNN000,173.0,0.0,0.0,0.0,0.0,15.0
000100,유한양행                                ST1002700090000 NNAYNY YYNNYNNNN0NNNNNNNN0001160000000100001NNN00NNN000000020Y0900000003433150000000010001962110100000000007996800000000008020906400012       0 NYY0,94363.0,135.79,4.14,5.11,37.22,50.0
000105,유한양행우                              ST0002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0001040000000100001NNN00NNN000000060Y0900000000077760000000010001995022100000000000118000000000000118094000012       1 NNN00,1240.0,0.0,0.0,0.0,0.0,51.0
000120,CJ대한통운                              ST2001900000000 NN9NNY NNNNNNNNN0NNNNNNYY0000821000000100001NNN00NNN000000030Y0900000000422760000000050001956070200000000002281200000000011406172000012       0 NYY0,18797.0,7.56,0.44,4.46,132.57,16.0
000140,하이트진로홀딩스                        ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000097900000100001NNN00NNN000000100N0900000000274430000000050001973091900000000002320600000000011603382500012       0 NNY00001,2251.0,5.17,0.34,9.55,239.09,7.0
000145,하이트진로홀딩스우                      ST0002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000122800000100001NNN00NNN000000100N0900000000014770000000050001987092900000000000047000000000000235405000012       1 NNN000000,58.0,0.0,0.0,0.0,0.0,8.0
000150,두산                                    ST1002100000000 NY2NNY YYNNNNNNN0NNNNNNNY0009500000000100001NNN00NNN000000100N0900000001339410000000050001973062900000000001652300000000009929060500012       0 NY,156811.0,-89.85,12.2,13.56,165.14,40.0
000155,두산우                                  ST0002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0005220000000100001NNN00NNN000000060Y0900000000691420000000050001986073100000000000399600000000001998231000012       1 NNN,20302.0,0.0,0.0,0.0,0.0,41.0
000157,두산2우B                                ST0002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0004640000000100001NNN01NNN000000100N0900000000036290000000050001999120300000000000089300000000000446519000012       2 NNN,4077.0,0.0,0.0,0.0,0.0,40.0
000180,성창기업지주                            ST3002600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000015790000100001NNN00NNN000000100N0900000000562270000000005001976060200000000006975100000000003600000000012       0 NNY000,1071.0,-30.12,0.19,-1.67,24.85,0.0
000210,DL                                      ST2002700080000 NN4NNY NNNNNNNNN0NYNNNNNY0000398000000100001NNN00NNN000000040Y0900000000995900000000050001976020200000000002095500000000012827942000012       0,8162.0,9.87,0.21,-4.84,163.56,20.0
000215,DL우                                    ST0002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000259000000100001NNN00NNN000000100N0900000000351500000000050001989082100000000000168600000000001043057500012       1 N,433.0,0.0,0.0,0.0,0.0,21.0
000220,유유제약                                ST3002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0000041450000100001NNN00NNN000000100N0900000000935680000000010001975111800000000001703200000000001760919100012       0 NNY0,707.0,9.35,0.62,4.48,49.47,10.0
000225,유유제약1우                             ST0002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0000046700000100001NNN00NNN000000100N0900000000076530000000010001990010500000000000226600000000000226693000012       1 NNN00,107.0,0.0,0.0,0.0,0.0,12.0
